name,score
DEAN,60
THOR,60
DANIEL,59
WOODY,60
JIA,43
ZEN🎄,60
THOR,100
BRICE,81
DEAN,40
ED,145
LUCA,74
JARROD,60
LUKE,86
LUMI,7
JEFF,70
JOY,150
MILES,60
CROW,72
ELLE,65
ERIC,9
PATRICK,65
GREEN,3
JOY,65
ROY,50
DEAN,78
LUKE,60
SCOTT,26
☃️,70
BK,70
OCEAN,45
THOR,60
MILES,113
MILES,180
MILES,65
ELLE,32
ALLAN,100
☃️,60
MILES,41
GOLD,57
DEAN,23
JARROD,43
ROHA,60
SANG❄️HWA,53
IVAN,75
ELLE,60
MEIIA,9
LUKE,60
CHLOE,28
LUMI,65
WENDY🎅,78
ROMY,95
JUSTIN,90
LUCA,60
LUCA,60
ROHA,55
BRANDON,100
JUSTIN,60
ZEN🎄,60
CROW,48
ZUNE,29
YENNY,42
JUSTIN,78
DANIEL,113
ROMY,48
JUSTIN,60
ALLAN,46
CINDY,28
WADE,51
MILES,60
LIAM,50
ZEN🎄,60
DANIEL,60
JEFF,43
BK,44
ED,52
THOR,60
RINA,100
JUSTIN,105
PATRICK,64
ZEN🎄,60
MILES,48
BEN,63
ED,60
ZUNE,21
BK,70
LUKE,60
ALLAN,60
ELLE,60
PATRICK,65
ALLAN,65
JUSTIN,80
CROW,47
ELRIC,62
ZEN🎄,60
GOLD,60
CROW,77
BK,95
ALLAN,65
WADE,15
PHILIP,100
ED,65
JUSTIN,60
ELLE,46
ALLAN,40
WADE,30
ZUNE,60
ELLE,60
DEAN,94
DANIEL,100
JEFF,95
ZEN🎄,45
JUDY,60
BK,95
WOODY,60
ALLAN,55
PATRICK,60
LUKE,43
ALLAN,60
VAN,75
ELLA❄️,65
ROHA,26
MILES,60
BK,52
CROW,94
MILES,65
DEAN,95
ROHA,41
DEAN,43
JEFF,100
JEFF,24
DG,26
MILES,60
JEFF,90
ELLE,60
CROW,27
MEIIA,100
JARROD,60
LUCA,75
RINA,48
ROHA,70
ROMY,31
OCEAN,60
RINA,65
NIKE,60
LUCAS,47
AEGON,101
OCEAN,36
ALLAN,100
WADE,31
LUCAS,43
JUSTIN,40
PHILIP,43
IVAN,70
ELLIE,100
LUKE,60
THEO,60
JERRY,41
LUKE,90
JUSTIN,65
WADE,65
ROHA,60
DEAN,45
ED,60
GREEN,40
MARVIN,100
ELLA❄️,26
JEFF,7
VAN,22
LIAM,60
IVAN,45
PHILIP,43
JUSTIN,60
CROW,47
BEN,32
B⭐,85
GLORIA,6
GOLD,60
ROMY,73
MARVIN,100
TIANA,71
VAN,100
DANIEL,60
ED,60
GOLD,64
NIKE,60
ED,60
MEIIA,95
☃️,61
DANIEL,55
ROHA,60
GOLD,40
ELLA❄️,25
GOLD,42
☃️,60
ROHA,35
AEGON,48
LIAM,84
☃️,90
ROHA,70
OCEAN,60
ZEN🎄,60
SCOTT,105
ELLE,105
ZEN🎄,140
MARVIN,39
ROHA,95
IVAN,95
JUSTIN,50
AEGON,53
PATRICK,45
ELLIE,59
ALLAN,65
ROHA,60
DERRICK,31
MILES,75
